name,review,rating,date
Harshit Malaviya,"Absolutely Delicious! 5/5

I recently tried the NY Biskof, hazelnut Cheesecakes and Triple Chocolate, …",,Edited 5 months ago
Dhruvin Mer,The original Crispy Waffle comes with exciting toppings loved it served hot and crispy. Well I can suggest them as one of the best Waffle Here in Mota Varachha Surat. If you crave for dessert outings this is a place that would cheer you …,,2 years ago
Darshan,"Nice little place for waffle lovers. I wanted to try their cheesecake too but as it was late, they were sold out so I ordered only Biscoff and Paan Waffles. Must say both were too good. Very fresh. perfectly sweet (neither too much nor too …",,a year ago
Amarnath Nayak,"I love this place 😍, Gone for first time after searching it a lot, and it totally gave me the the worth the taste of the Kitkat version was 😍, after that I have gone twice just to try the same item, always loved it...❣️ …",,a year ago
viral sondagar,"I recently had the pleasure of dining at the waffle n vibe , and it was an absolutely delightful experience from start to finish.Overall, I can't say enough positive things about wafflen vibes. It's a gem of a place for waffle lovers and …",,2 years ago
Zaara Gangani,"Had a great time at waffle n vibe! The service was genuinely warm and quick—everyone was super friendly and made sure we were comfortable. The waffles were delicious (definitely recommend the classic with chocolate drizzle), and what made …",,6 months ago
vasani Jahanvi,"Really very nice cheese cake🧀
Thank you🧿 …",,6 months ago
Zeel Dhanani,It was a best experience and the staff was very friendly and the vibe was greater and the taste was upto the mark,,a month ago
Jay Dobariya,"The hidden gem for waffles in Varachha area.
Cozy vibes and good food.",,2 weeks ago
Barvaliya Purv,"Had this amazing waffle here, and was amazed about the taste and the atmosphere over here and you will get a good vibes here. Must visit ❤️‍🔥💥 …",,a year ago
Fenil Patel,"I tried cheesecake here , honestly it’s test is soo good.
All staff is so helpful & friendly nature .
I request all of you to must try visit once time at waffle n’ vibe",,7 months ago
Rakesh Liya,The best thing is taste the environment the sitting arrangement everything is superb and the best thing is the person who serves has great sense of humour the way he Talk..,,Edited 3 months ago
yashraj gohil,"As I savor the final bites of this delectable dessert, my taste buds are left dancing with pure delight. The velvety smooth texture of the chocolate ganache envelops my senses, while the crunchy hazelnut praline adds a delightful contrast …",,a year ago
Apurva Joshi,The food quality and prices are very good. The best cafe you in this area in my opinion.,,6 months ago
Mehul Nakrani,"Best cafe on motavaracha, I have been having coffee since 6 months and they never disappoints 👌🏻👏🏻 …",,6 months ago
Jalpa Patel,"A nice place for waffle lovers, offering good value.
Whether you’re craving classic waffles or adventurous flavor combinations, these cafés have something to satisfy your taste buds! 😊🧇 …",,a year ago
